kepid,kepler_name,period,t0,duration_hrs,disposition,depth_ppm,duration_days
5358241,Kepler-53 c,38.5576546,163.85063,5.794,CONFIRMED,993.0,0.24141666666666664
5358624,Kepler-428 b,3.525632539,170.0479951,2.59959,CONFIRMED,22335.0,0.10831625
4544670,,34.84398644,172.633252,2.9315,CANDIDATE,4523.6,0.12214583333333334
4664847,Kepler-690 b,7.748094239,174.997206,3.5957,CONFIRMED,2472.1,0.14982083333333332
4725681,Kepler-236 c,23.96793669,186.22182,3.827,CONFIRMED,1182.3,0.15945833333333334
4725681,Kepler-236 b,8.29561738,135.79284,1.3421,CONFIRMED,824.3,0.055920833333333336
4913852,Kepler-691 b,8.11437482,176.33968,2.2736,CONFIRMED,1558.0,0.09473333333333334
4932348,,38.036729482,196.934947,4.34617,FALSE POSITIVE,82871.6,0.18109041666666667
4936180,,4.64090031,173.64638,35.512,CANDIDATE,2450.6,1.4796666666666667
11913073,,3.747838198,171.66504,5.0642,FALSE POSITIVE,616.0,0.21100833333333333
10875245,Kepler-107 e,14.74914825,138.77799,6.0995,CONFIRMED,430.2,0.25414583333333335
5021899,Kepler-692 b,21.81295996,174.01085,4.3791,CONFIRMED,1175.4,0.1824625
5077629,,7.91936937,172.181092,3.3148,FALSE POSITIVE,15148.1,0.13811666666666667
5115978,,1.028436523,170.228582,1.8606,CANDIDATE,8098.0,0.077525
5164255,Kepler-693 b,15.37562369,173.61402,3.3169,CONFIRMED,15337.0,0.13820416666666666
5252423,Kepler-237 c,8.10363271,176.9486,3.161,CONFIRMED,887.9,0.13170833333333334
5252423,Kepler-237 b,4.71510843,134.96178,2.506,CONFIRMED,417.5,0.10441666666666666
5272878,Kepler-694 b,6.365839713,171.13575,2.9721,CONFIRMED,780.7,0.1238375
5283542,,5.97581754,174.77602,3.065,FALSE POSITIVE,962.4,0.12770833333333334
5649215,,2.446737317,170.66951,4.7211,FALSE POSITIVE,1177.9,0.19671249999999998
5651104,Kepler-695 b,3.04033046,169.9490106,1.8411,CONFIRMED,10858.8,0.0767125
5792202,Kepler-27 b,15.33528675,174.00278,3.897,CONFIRMED,3081.4,0.162375
10875245,Kepler-107 d,7.95825328,137.80219,4.377,CONFIRMED,50.0,0.18237499999999998
5792202,Kepler-27 c,31.33046135,153.43031,5.176,CONFIRMED,5073.8,0.21566666666666667
5370302,,3.9043425,173.393734,3.831,FALSE POSITIVE,16228.4,0.159625
5372966,,9.286358079,171.8214689,3.49949,FALSE POSITIVE,44791.4,0.14581208333333334
5376067,,3.951405455,173.276125,2.1862,FALSE POSITIVE,2453.9,0.09109166666666667
5436502,Kepler-238 e,23.65369415,171.376107,8.2183,CONFIRMED,3341.8,0.3424291666666666
5436502,Kepler-238 d,13.23352214,140.32196,6.7372,CONFIRMED,504.6,0.28071666666666667
5436502,Kepler-238 c,6.15560285,134.81656,4.9843,CONFIRMED,285.0,0.20767916666666666
5436502,Kepler-238 b,2.090811305,134.17462,3.388,CONFIRMED,115.9,0.14116666666666666
10875245,Kepler-107 b,3.180027898,133.49863,3.5797,CONFIRMED,120.3,0.14915416666666667
5436502,Kepler-238 f,50.4467417,178.5014,7.159,CONFIRMED,370.3,0.2982916666666667
5456651,Kepler-239 b,11.76307164,180.93613,2.9076,CONFIRMED,1037.3,0.12115
5456651,Kepler-239 c,56.2279271,132.29259,3.57,CONFIRMED,862.7,0.14875
5481416,,2.384052875,171.58362,3.0918,FALSE POSITIVE,1268.1,0.128825
5531576,Kepler-240 c,7.953547,174.66224,2.6312,CONFIRMED,875.4,0.10963333333333335
5531576,Kepler-240 b,4.14451656,135.92831,2.3421,CONFIRMED,391.8,0.0975875
5534814,,4.859386384,173.011469,2.2757,FALSE POSITIVE,6044.3,0.09482083333333334
6291653,Kepler-702 b,10.526294577,176.522462,2.5211,CONFIRMED,9768.0,0.10504583333333334
6392727,Kepler-703 b,4.583520948,169.973972,2.7055,CONFIRMED,3812.1,0.11272916666666666
6422070,Kepler-704 b,3.76181843,171.90364,3.5176,CONFIRMED,510.6,0.14656666666666665
6428700,Kepler-242 b,8.20396958,169.69138,2.9667,CONFIRMED,1024.4,0.1236125
6428700,Kepler-242 c,14.49645186,143.41659,4.016,CONFIRMED,647.5,0.16733333333333333
5792202,Kepler-27 d,6.54626149,133.85964,2.75,CONFIRMED,655.9,0.11458333333333333
5794379,Kepler-241 b,12.71809866,175.35526,3.0957,CONFIRMED,1149.4,0.1289875
5794379,Kepler-241 c,36.06588163,198.58423,4.3246,CONFIRMED,1563.8,0.18019166666666667
5881688,Kepler-696 b,4.190425659,171.44122,2.8589,CONFIRMED,2877.4,0.11912083333333334
6022556,Kepler-697 b,3.709870784,171.987982,3.0694,CONFIRMED,2020.3,0.12789166666666665
6032497,Kepler-698 b,16.3297527,177.29506,6.271,CONFIRMED,1187.5,0.26129166666666664
6061119,Kepler-699 b,27.807566216,186.713552,4.21587,CONFIRMED,25391.1,0.17566125
6191521,Kepler-700 b,80.8723469,203.895,11.195,CONFIRMED,3604.6,0.46645833333333336
6267425,,3.166465862,172.002627,2.9381,FALSE POSITIVE,4357.2,0.12242083333333333
3531558,Kepler-467 b,24.99324319,138.68167,5.9409,CONFIRMED,269.6,0.2475375
6276477,Kepler-701 b,10.35533116,170.93729,3.1775,CONFIRMED,750.6,0.13239583333333335
6863998,Kepler-709 b,16.08518937,180.28319,3.984,CONFIRMED,1442.4,0.166
6867155,,235.9986399,208.399822,8.2284,CANDIDATE,20714.6,0.34285000000000004
6948054,Kepler-245 b,7.49018305,174.95037,2.7297,CONFIRMED,1123.6,0.11373749999999999
6948054,Kepler-245 d,36.2761238,201.2869,4.7865,CONFIRMED,1572.6,0.19943750000000002
6948054,Kepler-245 c,17.46087931,137.26594,2.2641,CONFIRMED,812.4,0.0943375
6435936,Kepler-705 b,56.0560754,201.16578,4.685,CONFIRMED,1626.0,0.19520833333333332
6522242,Kepler-706 b,41.408316686,195.78745,5.0264,CONFIRMED,22838.9,0.20943333333333333
6526710,,39.74893077,172.854644,7.3051,CANDIDATE,15178.9,0.3043791666666667
